"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"03/31/2021","1,808,546","32%","995,873","44%","84,850","27%","43,954","16%","20,374","69%","833,052","90%","3,526","22%"
"04/01/2021","1,841,815","33%","1,030,209","47%","77,285","25%","38,466","13%","20,490","71%","856,466","91%","3,434","21%"
"04/02/2021","1,757,698","32%","958,085","44%","79,770","26%","49,308","17%","18,839","65%","845,252","90%","3,070","19%"
"04/03/2021","1,318,461","42%","750,682","56%","47,662","42%","37,706","25%","12,735","76%","779,701","85%","1,503","29%"
"04/04/2021","950,194","39%","519,812","52%","40,868","45%","30,673","30%","11,632","62%","749,910","87%","1,066","33%"
"04/05/2021","1,818,703","33%","1,088,750","50%","87,048","28%","46,156","16%","19,970","69%","832,239","88%","3,431","21%"
"04/06/2021","1,942,198","35%","1,155,101","53%","85,757","28%","45,178","16%","21,695","75%","840,351","89%","3,873","24%"
"04/07/2021","1,985,370","36%","1,172,362","54%","85,479","28%","45,747","16%","23,469","81%","858,593","91%","3,809","23%"
"04/08/2021","2,013,413","36%","1,177,833","54%","86,715","28%","47,059","16%","22,579","78%","877,834","93%","3,893","24%"
"04/09/2021","2,026,724","36%","1,144,311","52%","87,051","28%","52,445","18%","21,978","76%","895,229","95%","3,686","23%"
"04/10/2021","1,391,245","44%","790,023","59%","45,962","40%","36,629","25%","12,713","76%","822,112","90%","1,500","29%"
"04/11/2021","899,646","37%","504,407","51%","32,034","35%","22,933","22%","9,742","52%","666,435","77%","1,020","31%"
"04/12/2021","1,845,836","33%","1,087,799","50%","83,124","27%","43,563","15%","21,192","73%","793,402","84%","3,418","21%"
"04/13/2021","2,012,153","36%","1,196,355","55%","87,182","28%","46,150","16%","22,728","79%","832,482","88%","3,877","24%"
"04/14/2021","2,018,126","36%","1,199,954","55%","86,698","28%","47,970","17%","23,462","81%","852,606","91%","3,810","23%"
"04/15/2021","1,906,733","34%","1,083,083","50%","81,762","26%","44,175","15%","21,198","73%","822,207","87%","3,593","22%"
"04/16/2021","2,078,856","37%","1,157,507","53%","87,190","28%","54,355","19%","21,632","75%","889,711","95%","3,591","22%"
"04/17/2021","1,425,036","45%","803,352","60%","49,901","44%","39,789","27%","13,313","80%","813,162","89%","0","0%"
"04/18/2021","1,082,503","45%","607,333","61%","38,263","42%","30,983","30%","10,865","58%","753,446","87%","0","0%"
"04/19/2021","1,911,326","34%","1,147,977","53%","87,167","28%","45,925","16%","21,274","74%","816,540","87%","3,634","22%"
"04/20/2021","2,082,495","37%","1,223,642","56%","90,034","29%","49,100","17%","23,528","81%","860,511","91%","4,135","25%"
"04/21/2021","1,965,922","35%","1,139,762","52%","83,533","27%","45,253","16%","22,379","77%","828,447","88%","3,788","23%"
"04/22/2021","2,040,232","37%","1,166,357","53%","86,606","28%","46,790","16%","21,832","75%","871,573","93%","3,837","24%"
"04/23/2021","2,121,350","38%","1,184,193","54%","92,834","30%","56,155","20%","22,035","76%","920,588","98%","3,737","23%"
"04/24/2021","1,520,057","48%","809,163","61%","51,570","45%","43,227","29%","13,351","80%","854,964","94%","0","0%"
"04/25/2021","985,027","41%","540,989","55%","34,054","37%","23,855","23%","9,777","52%","695,863","80%","0","0%"
"04/26/2021","1,955,370","35%","1,156,913","53%","89,303","29%","46,752","16%","21,083","73%","826,605","88%","3,761","23%"
"04/27/2021","2,041,698","37%","1,198,299","55%","89,028","29%","47,310","16%","22,603","78%","839,788","89%","4,020","25%"
"04/28/2021","2,135,793","38%","1,227,777","56%","92,150","30%","50,011","17%","24,412","84%","888,723","94%","4,027","25%"
"04/29/2021","2,028,524","36%","1,166,096","53%","88,705","29%","47,785","17%","22,201","77%","873,037","93%","3,881","24%"
"04/30/2021","2,159,476","39%","1,185,321","54%","93,530","30%","57,364","20%","22,322","77%","922,720","98%","3,699","23%"
"05/01/2021","1,515,211","47%","818,655","59%","51,067","43%","41,395","27%","13,263","77%","849,633","89%","0","0%"
"05/02/2021","1,153,471","48%","620,063","64%","41,827","43%","32,683","31%","11,541","68%","809,865","95%","0","0%"
"05/03/2021","1,971,010","34%","1,165,505","51%","91,084","29%","45,800","16%","21,492","73%","828,506","86%","3,744","22%"
"05/04/2021","2,120,071","37%","1,227,250","54%","93,107","29%","49,415","17%","22,962","78%","851,039","88%","4,181","24%"
"05/05/2021","2,074,543","36%","1,158,445","51%","91,994","29%","48,351","17%","23,236","79%","841,968","87%","3,851","22%"
"05/06/2021","2,199,943","38%","1,258,536","55%","94,244","30%","52,748","18%","23,792","81%","905,604","94%","4,168","24%"
"05/07/2021","2,238,033","39%","1,222,741","54%","101,637","32%","61,477","21%","22,730","77%","936,747","97%","3,827","22%"
"05/08/2021","1,444,674","45%","779,188","56%","56,309","48%","42,664","28%","13,339","77%","854,156","89%","0","0%"
"05/09/2021","1,107,878","46%","576,000","60%","54,074","55%","37,795","36%","13,897","82%","854,809","100%","856","24%"
"05/10/2021","1,990,039","35%","1,149,109","51%","96,813","30%","50,090","17%","20,751","71%","844,563","88%","3,850","22%"
"05/11/2021","2,148,322","38%","1,231,886","54%","97,358","30%","51,588","18%","22,751","77%","873,176","91%","4,227","24%"
"05/12/2021","2,182,277","38%","1,238,990","54%","98,930","31%","53,548","19%","23,946","81%","887,381","92%","4,193","24%"
"05/13/2021","2,163,052","38%","1,182,347","52%","103,047","32%","55,558","19%","23,439","80%","918,259","95%","4,112","24%"
"05/14/2021","2,266,974","40%","1,220,112","54%","104,885","33%","63,394","22%","22,437","76%","947,064","98%","3,963","23%"
"05/15/2021","1,637,231","51%","844,096","60%","63,079","53%","49,401","33%","13,516","78%","891,574","93%","11","0%"
"05/16/2021","1,201,904","50%","621,750","65%","49,166","50%","36,227","35%","11,062","65%","814,177","96%","14","0%"
"05/17/2021","2,022,584","35%","1,157,960","51%","98,458","31%","52,803","18%","20,779","71%","810,018","84%","3,990","23%"
"05/18/2021","2,150,049","38%","1,215,676","53%","100,430","31%","54,920","19%","22,367","76%","838,307","87%","4,321","25%"
"05/19/2021","2,257,549","39%","1,253,578","55%","104,762","33%","56,851","20%","23,784","81%","915,644","95%","4,367","25%"
"05/20/2021","2,269,471","40%","1,243,965","55%","106,604","33%","57,425","20%","23,659","80%","931,659","97%","4,441","26%"
"05/21/2021","2,331,876","41%","1,221,591","54%","110,077","34%","67,283","24%","22,520","77%","965,528","100%","4,264","25%"
"05/22/2021","1,645,268","51%","839,877","60%","66,293","56%","51,249","34%","13,397","77%","911,148","95%","1,787","37%"
"05/23/2021","1,268,928","53%","645,466","67%","58,005","59%","40,613","39%","11,765","69%","885,740","104%","1,358","39%"
"05/24/2021","2,118,877","37%","1,192,453","52%","105,528","33%","55,179","19%","21,563","73%","869,940","90%","4,252","24%"
"05/25/2021","2,270,945","40%","1,253,998","55%","110,871","35%","58,737","21%","22,854","78%","902,577","94%","4,683","27%"
"05/26/2021","2,275,882","40%","1,241,052","55%","114,548","36%","59,613","21%","23,594","80%","921,084","96%","4,429","25%"
"05/27/2021","2,352,019","41%","1,246,269","55%","117,293","37%","62,852","22%","23,450","80%","970,920","101%","4,619","27%"
"05/28/2021","2,232,599","39%","1,135,369","50%","112,780","35%","66,048","23%","21,520","73%","931,760","97%","4,047","23%"
"05/29/2021","1,370,135","43%","648,192","46%","54,774","46%","38,894","26%","11,734","68%","744,860","78%","1,332","27%"
"05/30/2021","1,065,176","45%","484,864","50%","43,418","45%","30,072","29%","10,028","59%","664,029","78%","956","27%"
"05/31/2021","1,389,651","58%","702,801","73%","102,292","105%","43,039","41%","10,380","61%","756,187","89%","1,651","47%"
"06/01/2021","2,258,831","40%","1,230,127","57%","114,759","34%","94,923","32%","22,308","76%","907,698","92%","4,705","29%"
"06/02/2021","2,343,745","42%","1,249,102","58%","112,503","34%","90,821","31%","24,325","83%","910,385","93%","4,772","29%"
"06/03/2021","2,233,917","40%","1,143,159","53%","102,751","31%","84,815","29%","23,026","79%","895,524","91%","4,419","27%"
"06/04/2021","2,310,032","41%","1,160,335","54%","104,564","31%","88,908","30%","22,743","78%","930,743","95%","4,308","27%"
"06/05/2021","1,792,204","56%","874,545","62%","72,827","59%","62,687","40%","14,636","84%","946,758","96%","0","0%"
"06/06/2021","1,363,344","52%","654,780","60%","61,866","63%","51,469","47%","12,514","69%","921,829","100%","0","0%"
"06/07/2021","2,223,265","40%","1,200,737","56%","112,097","34%","89,412","30%","21,511","73%","897,208","91%","4,348","27%"
"06/08/2021","2,265,591","40%","1,175,335","55%","108,346","33%","87,986","30%","22,948","78%","878,376","89%","4,561","28%"
"06/09/2021","2,386,026","43%","1,259,005","59%","107,918","32%","90,641","31%","23,868","81%","908,563","92%","4,586","28%"
"06/10/2021","2,473,818","44%","1,276,901","59%","113,236","34%","91,323","31%","23,498","80%","951,274","97%","4,801","30%"
"06/11/2021","2,468,258","44%","1,221,484","57%","118,259","36%","94,566","32%","23,324","80%","968,763","99%","4,371","27%"
"06/12/2021","1,775,538","55%","849,178","61%","68,188","55%","61,468","39%","14,450","83%","919,318","93%","0","0%"
"06/13/2021","1,379,959","53%","647,385","59%","59,186","60%","51,712","47%","12,047","67%","887,098","96%","0","0%"
"06/14/2021","2,223,186","40%","1,176,722","55%","115,254","35%","91,064","31%","21,568","74%","869,235","88%","4,205","26%"
"06/15/2021","2,469,785","44%","1,277,203","59%","117,580","35%","96,688","33%","23,460","80%","917,933","93%","4,925","30%"
"06/16/2021","2,519,444","45%","1,288,040","60%","119,205","36%","94,690","32%","24,788","85%","945,955","96%","4,745","29%"
"06/17/2021","2,552,497","46%","1,281,552","60%","121,580","37%","98,435","33%","23,292","80%","973,485","99%","4,989","31%"
"06/18/2021","2,572,013","98%","1,235,675","114%","122,848","125%","104,304","96%","22,491","124%","989,296","107%","4,549","117%"
"06/19/2021","1,784,312","55%","841,519","60%","76,508","62%","66,134","42%","13,949","80%","952,944","97%","0","0%"
"06/20/2021","1,389,352","53%","652,557","60%","76,969","78%","60,876","56%","13,189","73%","951,631","103%","0","0%"
"06/21/2021","2,264,368","40%","1,191,844","55%","123,918","37%","95,740","32%","20,512","70%","926,300","94%","4,601","28%"
"06/22/2021","2,354,873","42%","1,172,110","55%","116,165","35%","97,637","33%","22,293","76%","896,868","91%","4,648","29%"
"06/23/2021","2,547,416","45%","1,264,095","59%","121,867","37%","101,864","34%","24,223","83%","946,870","96%","5,027","31%"
"06/24/2021","2,552,639","46%","1,248,843","58%","121,542","37%","100,509","34%","22,842","78%","978,351","99%","5,045","31%"
"06/25/2021","2,582,713","46%","1,214,123","56%","126,722","38%","100,537","34%","22,400","76%","988,675","101%","4,712","29%"
"06/26/2021","1,854,179","58%","841,585","60%","76,560","62%","66,738","42%","13,520","78%","950,086","97%","1,682","33%"
"06/27/2021","1,559,967","60%","656,004","60%","75,058","76%","62,411","57%","11,883","66%","900,039","97%","1,436","37%"
"06/28/2021","2,252,362","40%","1,152,019","54%","122,263","37%","101,482","34%","20,503","70%","924,740","94%","4,564","28%"
"06/29/2021","2,343,739","42%","1,169,268","54%","119,355","36%","97,829","33%","21,612","74%","930,011","95%","4,717","29%"
"06/30/2021","2,346,388","42%","1,139,886","53%","119,358","36%","99,455","34%","23,001","79%","945,822","96%","4,476","28%"
"07/01/2021","2,292,461","43%","1,104,516","53%","114,363","36%","90,018","32%","22,011","78%","933,638","97%","4,598","33%"
"07/02/2021","2,296,044","43%","1,121,116","54%","116,542","37%","94,252","33%","21,489","76%","920,188","96%","4,258","31%"
"07/03/2021","1,541,988","55%","738,089","55%","63,827","50%","57,381","37%","12,676","80%","777,262","84%","1,768","35%"
"07/04/2021","1,468,510","63%","615,001","56%","70,165","67%","63,948","60%","12,816","78%","773,629","87%","1,815","51%"
"07/05/2021","1,495,709","64%","770,321","70%","78,370","75%","59,711","56%","10,303","62%","838,087","95%","2,005","56%"
"07/06/2021","2,302,002","44%","1,181,416","57%","127,893","40%","100,494","35%","22,648","80%","903,777","94%","4,690","34%"
"07/07/2021","2,437,064","46%","1,234,617","60%","122,603","39%","99,137","35%","23,637","83%","926,634","96%","5,028","36%"
"07/08/2021","2,364,250","45%","1,164,513","56%","116,274","37%","93,197","33%","22,941","81%","897,858","93%","4,785","35%"
"07/09/2021","2,318,387","44%","1,115,969","54%","109,420","35%","88,347","31%","20,632","73%","888,932","92%","4,325","31%"
"07/10/2021","1,781,717","63%","855,908","63%","72,964","57%","64,429","42%","14,518","91%","925,950","100%","2,204","43%"
"07/11/2021","1,365,854","58%","635,511","58%","62,559","60%","53,178","50%","11,725","71%","830,775","94%","1,549","43%"
"07/12/2021","2,245,412","43%","1,171,521","57%","120,503","38%","99,023","35%","20,623","73%","866,231","90%","4,563","33%"
"07/13/2021","2,457,526","47%","1,239,045","60%","123,373","39%","105,314","37%","22,286","79%","895,705","93%","5,117","37%"
"07/14/2021","2,517,615","48%","1,260,044","61%","120,455","38%","101,843","36%","23,662","83%","919,213","96%","5,018","36%"
"07/15/2021","2,581,582","49%","1,275,846","62%","125,587","40%","105,171","37%","23,772","84%","971,048","101%","5,209","38%"
"07/16/2021","2,536,569","48%","1,219,118","59%","123,465","39%","104,331","37%","21,730","77%","983,846","102%","4,626","34%"
"07/17/2021","1,717,480","61%","795,347","59%","73,001","57%","64,513","42%","13,228","83%","897,001","97%","0","0%"
"07/18/2021","1,405,344","60%","640,618","58%","67,362","64%","56,174","53%","11,313","68%","838,604","95%","0","0%"
"07/19/2021","2,327,756","44%","1,208,792","58%","126,653","40%","103,403","37%","20,276","72%","897,298","93%","4,717","34%"
"07/20/2021","2,462,002","47%","1,217,802","59%","125,809","40%","107,009","38%","22,213","78%","924,495","96%","5,015","36%"
"07/21/2021","2,504,568","47%","1,225,595","59%","121,530","38%","104,862","37%","22,865","81%","914,902","95%","4,934","36%"
"07/22/2021","2,582,151","49%","1,279,778","62%","127,275","40%","102,275","36%","23,122","82%","963,493","100%","5,187","38%"
"07/23/2021","2,552,330","48%","1,219,255","59%","130,474","41%","101,070","36%","22,314","79%","985,198","102%","4,713","34%"
"07/24/2021","1,852,402","66%","856,250","63%","84,852","66%","68,579","44%","14,042","88%","950,568","103%","0","0%"
"07/25/2021","1,364,830","58%","625,645","57%","66,417","63%","53,090","50%","11,419","69%","864,361","98%","0","0%"
"07/26/2021","2,318,455","44%","1,219,135","59%","129,875","41%","101,260","36%","19,910","70%","907,205","94%","4,714","34%"
"07/27/2021","2,487,947","47%","1,267,804","61%","128,262","41%","102,950","36%","22,609","80%","918,908","96%","5,132","37%"
"07/28/2021","2,534,756","48%","1,276,296","62%","126,767","40%","99,976","35%","23,145","82%","932,094","97%","5,004","36%"
"07/29/2021","2,428,764","46%","1,186,642","57%","120,318","38%","94,716","33%","22,164","78%","918,380","96%","4,743","34%"
"07/30/2021","2,557,677","48%","1,235,623","60%","131,905","42%","103,531","37%","22,127","78%","988,596","103%","4,812","35%"
"07/31/2021","1,841,007","65%","857,333","64%","85,371","67%","67,121","43%","13,932","88%","953,445","103%","0","0%"
"08/01/2021","1,351,294","57%","629,963","57%","66,030","63%","51,978","50%","11,627","65%","869,092","94%","0","0%"
"08/02/2021","2,333,923","45%","1,208,484","60%","126,151","40%","102,349","38%","19,824","71%","903,514","93%","4,799","36%"
"08/03/2021","2,483,802","48%","1,262,043","63%","123,949","40%","103,249","38%","22,828","82%","904,753","93%","5,262","39%"
"08/04/2021","2,529,002","49%","1,257,876","62%","123,700","40%","99,332","36%","23,611","85%","921,068","95%","5,016","37%"
"08/05/2021","2,529,190","49%","1,259,332","62%","119,999","38%","98,290","36%","22,610","81%","956,306","98%","5,097","38%"
"08/06/2021","2,519,444","49%","1,222,343","61%","123,238","39%","101,218","37%","22,179","79%","979,833","101%","4,500","34%"
"08/07/2021","1,780,458","61%","836,715","61%","76,835","58%","67,267","44%","14,108","85%","923,751","96%","0","0%"
"08/08/2021","1,333,885","56%","598,574","54%","61,066","59%","54,265","52%","11,934","66%","843,489","92%","0","0%"
"08/09/2021","2,289,434","45%","1,183,050","59%","109,865","35%","95,599","35%","20,540","74%","891,525","92%","4,845","36%"
"08/10/2021","2,442,194","48%","1,245,670","62%","122,544","39%","95,330","35%","23,079","83%","905,508","93%","5,037","38%"
"08/11/2021","2,475,949","48%","1,246,306","62%","119,708","38%","94,737","35%","23,338","84%","931,264","96%","4,928","37%"
"08/12/2021","2,448,589","48%","1,223,666","61%","119,717","38%","90,818","33%","22,427","80%","965,578","99%","4,764","36%"
"08/13/2021","2,430,102","47%","1,189,426","59%","123,849","40%","91,861","34%","21,336","76%","973,883","100%","4,522","34%"
"08/14/2021","1,718,222","58%","811,826","59%","75,664","57%","57,650","38%","13,157","79%","904,780","94%","0","0%"
"08/15/2021","1,430,620","60%","661,705","60%","72,983","70%","54,362","52%","12,395","69%","918,288","100%","0","0%"
"08/16/2021","2,287,627","45%","1,170,216","58%","123,942","40%","100,258","37%","20,087","72%","910,779","94%","4,769","36%"
"08/17/2021","2,427,611","47%","1,209,633","60%","120,737","39%","103,616","38%","22,245","80%","909,180","94%","5,081","38%"
"08/18/2021","2,445,638","48%","1,210,760","60%","117,216","37%","97,853","36%","22,715","81%","917,872","94%","4,878","36%"
"08/19/2021","2,439,624","47%","1,194,375","59%","117,409","38%","93,036","34%","21,838","78%","939,085","97%","4,871","36%"
"08/20/2021","2,456,334","48%","1,183,308","59%","124,627","40%","99,533","36%","21,451","77%","969,814","100%","4,590","34%"
"08/21/2021","1,715,030","58%","822,340","60%","72,843","55%","61,997","41%","13,046","78%","941,331","98%","1,409","30%"
"08/22/2021","745,240","31%","369,246","33%","27,528","26%","16,121","16%","7,979","44%","489,334","53%","560","16%"
"08/23/2021","2,052,669","40%","1,032,792","51%","110,003","35%","84,223","31%","18,809","67%","821,654","85%","4,062","30%"
"08/24/2021","2,462,365","48%","1,234,884","61%","130,591","42%","98,325","36%","22,679","81%","942,935","97%","5,041","38%"
"08/25/2021","2,498,255","49%","1,236,342","61%","127,392","41%","93,307","34%","23,351","84%","957,036","98%","5,165","39%"
"08/26/2021","2,480,137","48%","1,222,996","61%","122,067","39%","91,039","33%","22,068","79%","950,534","98%","4,995","37%"
"08/27/2021","2,388,210","46%","1,147,249","57%","119,665","38%","90,532","33%","21,211","76%","973,335","100%","4,392","33%"
"08/28/2021","1,659,434","56%","776,489","56%","68,988","52%","56,208","37%","12,760","77%","890,293","93%","1,661","35%"
"08/29/2021","1,398,566","59%","630,281","57%","68,832","66%","54,068","52%","11,558","64%","890,505","97%","2,076","58%"
"08/30/2021","2,321,000","45%","1,182,908","59%","131,574","42%","97,092","36%","19,224","69%","911,105","94%","4,695","35%"
"08/31/2021","2,532,584","49%","1,246,463","62%","133,641","43%","99,949","37%","22,724","81%","936,181","96%","5,390","40%"
"09/01/2021","2,294,448","40%","1,086,148","47%","118,437","36%","90,598","31%","20,878","70%","811,053","85%","4,551","27%"
"09/02/2021","1,661,558","29%","1,188,941","51%","105,647","32%","37,898","13%","21,179","71%","851,145","89%","2,620","15%"
"09/03/2021","2,390,392","41%","1,221,668","53%","139,807","43%","97,937","34%","22,585","76%","1,014,806","107%","4,450","26%"
"09/04/2021","1,777,639","55%","834,456","59%","84,764","72%","57,137","37%","13,382","78%","927,358","97%","2,104","51%"
"09/05/2021","1,415,352","56%","618,622","56%","71,004","72%","45,169","43%","11,931","69%","832,200","94%","1,541","53%"
"09/06/2021","1,521,388","60%","733,947","67%","77,906","79%","51,338","49%","10,077","59%","812,884","92%","1,966","67%"
"09/07/2021","2,233,674","39%","1,102,372","47%","137,623","42%","113,742","39%","21,143","71%","902,400","95%","4,795","28%"
"09/08/2021","2,529,619","44%","1,192,895","51%","135,722","41%","110,925","38%","22,354","75%","896,020","94%","5,228","31%"
"09/09/2021","2,702,713","47%","1,249,341","54%","139,547","43%","111,708","39%","23,653","80%","911,040","96%","5,378","31%"
"09/10/2021","2,840,443","49%","1,322,430","57%","150,895","46%","113,495","39%","23,037","78%","995,486","105%","5,377","31%"
"09/11/2021","1,983,091","62%","870,791","62%","82,235","69%","65,329","43%","13,070","76%","917,704","96%","2,182","53%"
"09/12/2021","1,589,976","62%","694,561","63%","77,028","78%","58,979","56%","12,239","71%","899,864","102%","1,679","57%"
"09/13/2021","2,852,796","49%","1,441,516","62%","147,829","45%","122,504","42%","21,898","74%","914,827","96%","6,133","36%"
"09/14/2021","3,011,275","52%","1,511,145","65%","144,904","44%","120,532","42%","23,132","78%","908,024","95%","6,672","39%"
"09/15/2021","2,987,334","52%","1,503,627","65%","139,927","43%","116,413","40%","23,966","81%","904,733","95%","6,410","38%"
"09/16/2021","2,534,545","44%","1,210,069","52%","127,995","39%","107,680","37%","20,826","70%","864,413","91%","5,308","31%"
"09/17/2021","3,028,545","52%","1,456,201","63%","142,120","43%","119,349","41%","23,282","78%","982,085","103%","6,131","36%"
"09/18/2021","2,014,848","63%","871,175","62%","77,267","65%","76,288","50%","14,054","82%","949,178","99%","2,582","62%"
"09/19/2021","1,596,823","63%","674,024","61%","69,397","70%","64,139","61%","12,612","73%","914,623","103%","1,897","65%"
"09/20/2021","2,883,211","50%","1,481,676","64%","148,068","45%","122,101","42%","21,889","74%","895,109","94%","6,548","38%"
"09/21/2021","3,018,312","52%","1,505,803","65%","142,672","44%","123,923","43%","22,399","75%","860,050","90%","6,998","41%"
"09/22/2021","3,021,113","52%","1,506,211","65%","139,853","43%","120,056","42%","23,157","78%","872,883","92%","6,812","40%"
"09/23/2021","3,016,106","52%","1,483,075","64%","140,127","43%","115,473","40%","23,031","78%","915,198","96%","6,724","39%"
"09/24/2021","3,121,747","54%","1,469,705","63%","142,827","44%","116,730","40%","21,941","74%","986,694","104%","6,294","37%"
"09/25/2021","2,129,492","66%","872,490","62%","88,460","75%","81,282","53%","13,909","81%","953,628","100%","2,719","66%"
"09/26/2021","1,614,677","63%","657,257","60%","80,069","81%","64,937","62%","12,034","70%","895,286","101%","2,238","77%"
"09/27/2021","2,873,368","50%","1,489,441","64%","146,154","45%","121,534","42%","21,209","71%","881,116","93%","6,715","39%"
"09/28/2021","2,927,715","51%","1,457,421","63%","141,188","43%","118,253","41%","21,727","73%","831,192","87%","6,827","40%"
"09/29/2021","3,063,720","53%","1,513,184","65%","137,483","42%","120,032","42%","23,323","79%","886,785","93%","6,789","40%"
"09/30/2021","3,146,861","55%","1,516,081","65%","144,838","44%","121,842","42%","23,555","79%","953,501","100%","7,104","42%"
"10/01/2021","3,162,881","55%","1,492,942","66%","140,003","45%","116,182","40%","23,098","78%","985,786","106%","6,325","35%"
"10/02/2021","2,063,660","62%","883,902","63%","86,563","76%","80,946","53%","14,145","80%","923,455","98%","2,562","56%"
"10/03/2021","1,575,738","64%","673,253","67%","74,851","82%","66,758","63%","12,936","70%","887,540","105%","1,904","50%"
"10/04/2021","2,864,349","50%","1,419,155","63%","152,598","49%","121,256","42%","21,794","73%","871,945","94%","6,591","37%"
"10/05/2021","3,091,160","54%","1,499,767","67%","150,226","48%","124,670","43%","23,644","79%","887,129","96%","7,027","39%"
"10/06/2021","3,140,986","55%","1,532,668","68%","149,640","48%","123,097","42%","24,677","83%","913,993","98%","6,972","39%"
"10/07/2021","3,190,747","56%","1,523,168","68%","150,072","48%","121,407","42%","24,571","83%","951,212","102%","7,298","41%"
"10/08/2021","3,168,473","55%","1,473,912","65%","153,755","49%","123,609","43%","23,356","78%","1,001,210","108%","6,660","37%"
"10/09/2021","2,052,699","62%","856,308","62%","84,631","75%","81,969","54%","13,634","77%","919,384","97%","47","1%"
"10/10/2021","1,499,385","61%","601,821","60%","65,636","72%","59,049","56%","11,794","64%","806,025","95%","166","4%"
"10/11/2021","2,263,615","39%","1,045,865","46%","131,714","42%","114,458","39%","16,917","57%","878,443","95%","3,883","22%"
"10/12/2021","3,102,879","54%","1,514,608","67%","154,602","49%","128,194","44%","23,848","80%","910,639","98%","7,292","41%"
"10/13/2021","3,157,457","55%","1,511,356","67%","151,319","48%","124,790","43%","24,396","82%","907,632","98%","7,198","40%"
"10/14/2021","3,240,686","56%","1,527,543","68%","154,572","49%","126,815","44%","24,144","81%","952,876","103%","7,386","41%"
"10/15/2021","3,227,068","56%","1,491,099","66%","150,932","48%","124,654","43%","23,251","78%","990,940","107%","6,786","38%"
"10/16/2021","2,042,027","61%","856,990","62%","83,415","74%","74,913","49%","13,307","75%","896,392","95%","2,369","52%"
"10/17/2021","1,629,991","66%","663,944","66%","74,826","82%","69,729","66%","12,564","68%","891,527","106%","1,853","49%"
"10/18/2021","2,982,883","52%","1,461,843","65%","153,681","49%","127,381","44%","21,454","72%","889,996","96%","6,810","38%"
"10/19/2021","3,178,208","55%","1,510,722","67%","153,382","49%","129,993","45%","23,403","79%","899,389","97%","7,250","41%"
"10/20/2021","3,234,327","56%","1,525,608","68%","155,242","49%","131,127","45%","24,474","82%","916,246","99%","7,148","40%"
"10/21/2021","3,267,697","57%","1,476,434","65%","149,850","48%","127,259","44%","24,007","81%","948,652","102%","7,498","42%"
"10/22/2021","3,225,816","56%","1,471,199","65%","145,810","46%","126,554","44%","22,843","77%","986,548","106%","6,297","35%"
"10/23/2021","2,077,488","62%","847,596","61%","74,720","66%","82,865","54%","13,556","77%","914,737","97%","2,243","49%"
"10/24/2021","1,599,927","65%","659,283","66%","69,611","76%","68,154","65%","12,314","67%","883,371","105%","1,908","51%"
"10/25/2021","2,994,936","52%","1,461,023","65%","158,330","50%","125,755","43%","21,724","73%","883,887","95%","7,026","39%"
"10/26/2021","2,702,635","47%","1,233,660","55%","130,109","41%","104,517","36%","21,220","71%","738,636","80%","5,278","30%"
"10/27/2021","3,300,580","57%","1,503,535","67%","155,865","50%","129,881","45%","24,144","81%","914,494","99%","7,054","40%"
"10/28/2021","3,365,971","59%","1,515,489","67%","159,574","51%","132,170","45%","24,814","83%","959,835","103%","7,605","43%"
"10/29/2021","3,251,779","57%","1,426,938","63%","153,317","49%","122,632","42%","22,477","75%","963,442","104%","6,597","37%"
"10/30/2021","2,044,310","61%","819,620","59%","76,471","67%","69,281","45%","12,642","72%","854,656","90%","2,177","48%"
"10/31/2021","1,746,769","71%","656,203","66%","68,674","75%","66,300","63%","12,233","67%","824,978","98%","1,910","51%"
"11/01/2021","3,034,306","54%","1,448,304","66%","158,356","48%","131,251","46%","21,387","69%","898,451","95%","6,783","40%"
"11/02/2021","2,848,222","51%","1,258,180","57%","147,832","45%","129,297","45%","22,016","71%","853,432","90%","5,679","33%"
"11/03/2021","3,293,732","58%","1,507,287","69%","154,203","47%","130,954","46%","23,349","75%","901,230","96%","7,371","43%"
"11/04/2021","3,284,315","58%","1,486,942","68%","151,353","46%","126,533","44%","24,009","77%","931,012","99%","7,210","42%"
"11/05/2021","3,293,438","58%","1,457,014","67%","150,227","46%","121,824","43%","23,009","74%","966,007","102%","6,769","40%"
"11/06/2021","2,195,864","69%","864,499","66%","84,943","74%","80,784","53%","13,672","81%","910,587","100%","2,410","70%"
"11/07/2021","1,888,985","75%","614,513","62%","81,181","86%","72,175","69%","10,647","57%","780,686","95%","2,978","97%"
"11/08/2021","3,065,533","54%","1,461,178","67%","159,723","49%","131,127","46%","22,136","71%","889,544","94%","6,921","41%"
"11/09/2021","3,279,457","58%","1,518,264","69%","157,181","48%","134,070","47%","24,504","78%","898,518","95%","7,677","45%"
